number,topics
0,Leave this one blank
1,Introduction
2,Scheme 1
3,Scheme 2
4,Scheme 3
5,Scheme 4
6,Scheme 5
7,Work Day
8,Work Day
9,Work Day
10,Work Day
11,Prolog 1
12,Prolog 2
13,Prolog 3
14,Prolog 4
15,Debugging prolog
16,Work Day
17,Work Day
18,Work Day
19,Erlang 1
20,Erlang 2
21,Erlang 3
22,Erlang 4
23,Erlang 5 – Raft
24,Erlang 6 – Debugging Sends and Receives
25,Work Day
26,Work Day
27,Haskell 1
28,Haskell 2
29,Haskell 3
30,Haskell 4
31,Work Day
32,Work Day
33,Work Day
34,The Final Project
35,Rust 1
36,Rust 2
37,Rust 3
38,Rust 4
39,Work Day
40,Work Day
41,Work Day
42,Instructors Choice 1: Lua and C Integration
43,Instructors Choice 2: Lua and Prototype based OO
44,Instructors Choice 3: Smalltalk 1
45,Instructors Choice 4: The Smalltalk Image
46,Wellness day
47,Instructors Choice 5: Monads
48,Work Day
49,Final Reflections
50,Final Project Talks
51,Final Project Talks
52,Final Project Talks
53,Final Project Talks
